gene_a,gene_b,string_score,functional_cluster_a,functional_cluster_b,longevity_a,longevity_b
HSPA1B,HSPA1A,0.994,Protein Folding/HSP,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
CETP,APOC1,0.985,Lipid Metabolism,Lipid Metabolism,Anti-Longevity,Anti-Longevity
TLR4,HSPA1B,0.941,Neuroinflammation,Protein Folding/HSP,Anti-Longevity,Pro-Longevity
HSPA1B,HSPA1L,0.879,Protein Folding/HSP,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
TLR4,LY86,0.854,Neuroinflammation,Neuroinflammation,Anti-Longevity,Anti-Longevity
PITPNM3,SEMA4A,0.767,Lipid Metabolism,Neuroinflammation,Context-Dependent,Context-Dependent
HMOX1,TLR4,0.719,Mitochondrial Function,Neuroinflammation,Pro-Longevity,Anti-Longevity
HSPA1A,HSPA1L,0.705,Protein Folding/HSP,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
SEMA4A,PROM1,0.627,Neuroinflammation,Other/Context,Context-Dependent,Context-Dependent
PLXNA4,SEMA4A,0.61,Neuronal Signaling,Neuroinflammation,Context-Dependent,Context-Dependent
PITPNM3,PROM1,0.586,Lipid Metabolism,Other/Context,Context-Dependent,Context-Dependent
TLR4,HSPA1A,0.574,Neuroinflammation,Protein Folding/HSP,Anti-Longevity,Pro-Longevity
HMOX1,HSPA1B,0.497,Mitochondrial Function,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
LINGO2,LRP1B,0.477,Neuronal Signaling,Lipid Metabolism,Context-Dependent,Context-Dependent
HLA-DQB1,HSPA1L,0.475,Neuroinflammation,Protein Folding/HSP,Anti-Longevity,Pro-Longevity
NLRC5,TLR4,0.472,Neuroinflammation,Neuroinflammation,Pro-Longevity,Anti-Longevity
LY86,PARVG,0.471,Neuroinflammation,Cell Adhesion/Structure,Anti-Longevity,Context-Dependent
HMOX1,MT2A,0.432,Mitochondrial Function,Mitochondrial Function,Pro-Longevity,Pro-Longevity
CAMK4,HPCAL1,0.428,Neuronal Signaling,Neuronal Signaling,Context-Dependent,Context-Dependent
YWHAG,HPCAL1,0.398,Protein Folding/HSP,Neuronal Signaling,Pro-Longevity,Context-Dependent
YWHAG,HSPA1A,0.389,Protein Folding/HSP,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
CETP,CAMTA1,0.386,Lipid Metabolism,Neuronal Signaling,Anti-Longevity,Context-Dependent
MT2A,HSPA1A,0.37,Mitochondrial Function,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
YWHAG,HSPA1B,0.37,Protein Folding/HSP,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
HLA-DQB1,LRP1B,0.37,Neuroinflammation,Lipid Metabolism,Anti-Longevity,Context-Dependent
MT2A,HSPA1B,0.363,Mitochondrial Function,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
LRP1B,RYR3,0.355,Lipid Metabolism,Neuronal Signaling,Context-Dependent,Context-Dependent
LY86,HPCAL1,0.351,Neuroinflammation,Neuronal Signaling,Anti-Longevity,Context-Dependent
HMOX1,HSPA1A,0.348,Mitochondrial Function,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
RAD23B,NDUFS1,0.344,Protein Folding/HSP,Mitochondrial Function,Pro-Longevity,Pro-Longevity
SGK1,PRR5L,0.342,Growth Signaling,Other/Context,Anti-Longevity,Context-Dependent
PCSK1,TLR4,0.339,Lipid Metabolism,Neuroinflammation,Context-Dependent,Anti-Longevity
LRP1B,THSD7B,0.337,Lipid Metabolism,Cell Adhesion/Structure,Context-Dependent,Context-Dependent
TLR4,HLA-DQB1,0.333,Neuroinflammation,Neuroinflammation,Anti-Longevity,Anti-Longevity
HMOX1,LRP1B,0.317,Mitochondrial Function,Lipid Metabolism,Pro-Longevity,Context-Dependent
TLR4,PROM1,0.315,Neuroinflammation,Other/Context,Anti-Longevity,Context-Dependent
SGK1,TLR4,0.293,Growth Signaling,Neuroinflammation,Anti-Longevity,Anti-Longevity
YWHAG,RAD23B,0.276,Protein Folding/HSP,Protein Folding/HSP,Pro-Longevity,Pro-Longevity
HMOX1,ABCC4,0.275,Mitochondrial Function,Transport/Metabolism,Pro-Longevity,Context-Dependent
CETP,TLR4,0.271,Lipid Metabolism,Neuroinflammation,Anti-Longevity,Anti-Longevity
PHYHIP,TMEM151B,0.27,Other/Context,Other/Context,Context-Dependent,Context-Dependent
PLXNA4,CLSTN2,0.263,Neuronal Signaling,Neuronal Signaling,Context-Dependent,Context-Dependent
SDC4,APOC1,0.26,Neuroinflammation,Lipid Metabolism,Context-Dependent,Anti-Longevity
HLA-DQB1,LY86,0.259,Neuroinflammation,Neuroinflammation,Anti-Longevity,Anti-Longevity
SGK1,HSPA1B,0.257,Growth Signaling,Protein Folding/HSP,Anti-Longevity,Pro-Longevity
SGK1,HSPA1A,0.253,Growth Signaling,Protein Folding/HSP,Anti-Longevity,Pro-Longevity
